val_loss,auc,val_BinaryAccuracy,val_BinaryCohenKappa,val_BinaryF1Score,val_BinaryRecall,val_BinaryPrecision,epoch,step
0.0422961600124836,0.3730769157409668,0.14035087823867798,-0.05996203422546387,0.1090909093618393,0.6000000238418579,0.05999999865889549,0,103
0.03541985899209976,0.442307710647583,0.17543859779834747,-0.016698241233825684,0.145454540848732,0.800000011920929,0.07999999821186066,1,207
0.035096995532512665,0.48461538553237915,0.7368420958518982,-0.007067084312438965,0.11764705926179886,0.20000000298023224,0.0833333358168602,2,311
0.04868192970752716,0.607692301273346,0.8070175647735596,0.051437199115753174,0.1538461595773697,0.20000000298023224,0.125,3,415
0.06704655289649963,0.6307692527770996,0.8947368264198303,0.19718313217163086,0.25,0.20000000298023224,0.3333333432674408,4,519
0.054739102721214294,0.5538461208343506,0.7894737124443054,0.14713215827941895,0.25,0.4000000059604645,0.1818181872367859,5,623
0.06256116181612015,0.5192307829856873,0.7894737124443054,0.033898353576660156,0.1428571492433548,0.20000000298023224,0.1111111119389534,6,727
0.07897868007421494,0.6115384697914124,0.8421052694320679,0.0952380895614624,0.1818181872367859,0.20000000298023224,0.1666666716337204,7,831
0.10551387816667557,0.642307698726654,0.8771929740905762,0.15644818544387817,0.2222222238779068,0.20000000298023224,0.25,8,935
0.09703358262777328,0.6384615898132324,0.859649121761322,0.12307685613632202,0.20000000298023224,0.20000000298023224,0.20000000298023224,9,1039
0.0904136598110199,0.6269230842590332,0.8421052694320679,0.0952380895614624,0.1818181872367859,0.20000000298023224,0.1666666716337204,10,1143
0.08986160159111023,0.6230769157409668,0.8421052694320679,0.0952380895614624,0.1818181872367859,0.20000000298023224,0.1666666716337204,11,1247
